species	status	assembly	ensembl_release	n_genes	n_named_genes	n_names	n_pairs	n_ambiguous	bridge	n_bridge_pairs	pct_genes_named	gff3_name_class
avena_sterilis_gca947313225v1cm	ok	Asterilis_TN1_v1.0	63	125271	903	26	903	22	yes	988	0.721	gene_names
brassica_rapa_ro18	ok	SCU_BraROA_2.3	63	43129	0	0	0	0	no	0	0.0	gene_names
avena_sterilis_gca947313515v1cm	ok	Asterilis_TN4_v1.0	63	135615	1589	25	1589	24	yes	1907	1.172	gene_names
capsicum_annuum	ok	ASM51225v2	63	4066	43	361	467	56	yes	476	1.058	gene_names
brassica_rapa_z1	ok	brapa_z1_v2	63	52701	255	391	478	31	yes	313	0.484	gene_names
camelina_sativa	ok	Cs	63	3508	2	64	74	6	yes	82	0.057	gene_names
cannabis_sativa_female	ok	cs10	63	3623	2	65	65	0	yes	153	0.055	gene_names
cajanus_cajan_gca000340665v2gb	ok	C.cajan_V1.1	63	48078	118	1453	1544	46	yes	1448	0.245	gene_names
brassica_napus	ok	AST_PRJEB5043_v1	63	101040	101040	102047	105243	370	yes	4218	100.0	identifier_alias
chara_braunii	ok	Cbr_1.0	63	34718	137	128	137	4	no	0	0.395	gene_names
coffea_canephora	ok	AUK_PRJEB4211_v1	63	2198	8	6	8	1	no	0	0.364	gene_names
chondrus_crispus	ok	ASM35022v2	63	204	204	204	204	0	yes	0	100.0	identifier_alias
citrullus_lanatus	ok	Cla97_v1	63	2620	8	10	10	0	yes	2	0.305	gene_names
chlamydomonas_reinhardtii	ok	Chlamydomonas_reinhardtii_v5.5	63	1253	1253	1253	1253	0	yes	0	100.0	identifier_alias
citrus_clementina	ok	Citrus_clementina_v1.0	63	25000	71	55	83	11	yes	44	0.284	gene_names
chenopodium_quinoa	ok	ASM168347v1	63	43952	83	45	87	20	yes	10	0.189	gene_names
corchorus_capsularis	ok	CCACVL1_1.0	63	29356	61	36	61	9	yes	6	0.208	gene_names
cyanidioschyzon_merolae	ok	ASM9120v1	63	101	0	0	0	0	yes	0	0.0	gene_names
corymbia_citriodora	ok	Ccitriodora_v2_1	63	35628	13	12	13	1	no	0	0.036	gene_names
cucumis_sativus	ok	ASM407v2	63	3497	37	358	382	14	yes	369	1.058	gene_names
corylus_avellana	ok	CavTom2PMs-1.0	63	27270	1	13	13	0	yes	13	0.004	gene_names
cucumis_melo	ok	Melonv4	63	28299	85	203	214	6	yes	185	0.3	gene_names
cynara_cardunculus_gca001531365v2gb	ok	CcrdV1.1	63	26498	47	31	47	6	no	0	0.177	gene_names
daucus_carota	ok	ASM162521v1	63	4312	16	156	170	10	yes	172	0.371	gene_names
digitaria_exilis	ok	Fonio_CM05836	63	59844	19	11	19	6	no	0	0.032	gene_names
dioscorea_rotundata	ok	TDr96_F1_v2_PseudoChromosome	63	1350	0	7	12	3	yes	16	0.0	gene_names
eragrostis_curvula	ok	CERZOS_E.curvula1.0	63	6185	11	6	11	2	no	0	0.178	gene_names
galdieria_sulphuraria	ok	ASM34128v1	63	6622	64	64	64	0	yes	0	0.966	gene_names
eragrostis_tef	ok	Salk_teff_dabbi_3.0	63	66287	7	12	14	2	yes	14	0.011	gene_names
echinochloa_crusgalli	ok	ec_v3	63	103850	4	4	4	0	no	0	0.004	gene_names
eucalyptus_grandis	ok	Egrandis1_0	63	36779	102	84	126	15	yes	64	0.277	gene_names
eutrema_salsugineum	ok	Eutsalg1_0	63	26528	77	67	98	12	yes	35	0.29	gene_names
